Part/Designator,Description,MPN,Quantity
"C1,C2,C3,C4,C5,C6,C7,C8",Cap 1206 100uF,GRM31CD80J107ME39L,8
"C9,C10",Cap 0603 10uF,CL10A106MQ8NNNC,2
"C11,C12",Cap 0603 0.1uF,CL10B104KO8NNNC,2
"J1,J2,J3,J4,J5,J6,J7,J8",4 pin connector,43650-0400,8
J10,8 pin DIP switch,BPA08B,1
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16",Resistor 0603 22R,RC0603JR-0733RL,16
SW1,Tact switch,1-1825027-1,1
U1,STM32 module,STM32 module,1
"U2,U3",8 bit line driver,"74HCT245PW,118",2
U4,3.3V LDO,LD1117S33TR,1
U5,Ethernet module,Ethernet module,1